sex,year,age,mu,sigma,nu,tau
men,17,34,25.8819868998952,0.130619295646873,-1.23216594501111,1.37869578415924
men,18,34,25.8873196701315,0.130537024030256,-1.24831361656382,1.36732886466809
men,19,34,25.8926535391412,0.130454804233081,-1.26446128811654,1.35605566190561
men,20,34,25.8979885071507,0.130372636222708,-1.28060895966925,1.34487540320641
men,21,34,25.9033245743864,0.130290519966519,-1.29675663122195,1.3337873222755
men,22,34,25.9086617410748,0.130208455431916,-1.31290430277467,1.32279065913573
men,23,34,25.9140000074425,0.130126442586322,-1.32905197432738,1.31188466007575
men,24,34,25.9193393737159,0.13004448139718,-1.34519964588009,1.30106857759833
men,25,34,25.9246798401218,0.129962571831954,-1.3613473174328,1.29034167036909
men,26,34,25.9300214068869,0.129880713858128,-1.37749498898551,1.27970320316575
men,27,34,25.9353640742378,0.129798907443207,-1.39364266053823,1.26915244682771
men,28,34,25.9407078424012,0.129717152554716,-1.40979033209094,1.25868867820607
men,29,34,25.9460527116041,0.129635449160201,-1.42593800364366,1.24831118011405
men,30,34,25.9513986820733,0.129553797227228,-1.44208567519637,1.23801924127788
men,31,34,25.9567457540357,0.129472196723383,-1.45823334674907,1.227812156288
men,32,34,25.9620939277182,0.129390647616273,-1.47438101830179,1.21768922555076
men,33,34,25.9674432033478,0.129309149873526,-1.4905286898545,1.20764975524041
men,34,34,25.9727935811517,0.12922770346279,-1.50667636140722,1.1976930572516
men,35,34,25.9781450613567,0.129146308351732,-1.52282403295993,1.18781844915218
men,36,34,25.9834976441903,0.129064964508041,-1.53897170451264,1.17802525413647
men,37,34,25.9888513298794,0.128983671899426,-1.55511937606536,1.16831280097882
men,38,34,25.9942061186514,0.128902430493616,-1.57126704761806,1.15868042398761
men,39,34,25.9995620107335,0.12882124025836,-1.58741471917077,1.14912746295969
men,40,34,26.004919006353,0.128740101161429,-1.60356239072349,1.13965326313504
men,41,34,26.0102771057374,0.128659013170612,-1.6197100622762,1.13025717515195
men,42,34,26.0156363091141,0.128577976253721,-1.63585773382891,1.12093855500249
men,43,34,26.0209966167104,0.128496990378584,-1.65200540538162,1.11169676398838
men,44,34,26.026358028754,0.128416055513054,-1.66815307693433,1.10253116867721
men,45,34,26.0317205454724,0.128335171625002,-1.68430074848704,1.09344114085902
